CH1_VOLTAGE,CH2_VOLTAGE
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
